Game,Relation,They,Console,Year,Sales
super mario bros.,BOSS_IN,world,Game & Watch,1989,45.31
super mario bros.,BOSS_IN,world,Nintendo,1985,45.31
super mario bros.,BOSS_IN,world,Game & Watch,1986,45.31
super mario bros.,BOSS_IN,world,Arcade,1992,45.31
super mario bros.,BOSS_IN,world,NES,1985,45.31
mario party: star rush,BOSS_IN,world,3DS,2016,0.3
mario vs. donkey kong,BOSS_IN,world,Switch,2024,1.17
mario vs. donkey kong,BOSS_IN,world,GBA,2004,1.17
super mario bros.: the lost levels,BOSS_IN,world,PC,1986,2.65
super mario bros.: the lost levels,BOSS_IN,world,NES,1986,2.65
mario party: the top 100,BOSS_IN,world,3DS,2017,0.0
mario vs. donkey kong 2: march of the minis,BOSS_IN,world,DS,2006,1.19
super mario bros. 2,BOSS_IN,world,Nintendo,1988,7.46
super mario bros. 2,BOSS_IN,world,NES,1988,7.46
super mario party,BOSS_IN,world,Switch,2018,0.0
mario vs. donkey kong: minis march again!,BOSS_IN,world,DS,2009,0.0
super mario bros. 3,BOSS_IN,world,Nintendo,1988,22.48
super mario bros. 3,BOSS_IN,world,Game & Watch,1990,22.48
super mario bros. 3,BOSS_IN,world,NES,1988,22.48
mario vs. donkey kong: mini-land mayhem!,BOSS_IN,world,DS,2010,2.67
super mario land,BOSS_IN,world,GB,1989,18.14
mario and donkey kong: minis on the move,BOSS_IN,world,3DS,2013,0.0
super mario world,BOSS_IN,world,Nintendo,1990,26.07
super mario world,BOSS_IN,world,Game & Watch,1991,26.07
super mario world,BOSS_IN,world,Arcade,1993,26.07
super mario world,BOSS_IN,world,SNES,1990,26.07
mario vs. donkey kong: tipping stars,BOSS_IN,world,"wii u, nintendo 3ds",2015,0.06999999999999999
mario vs. donkey kong: tipping stars,BOSS_IN,world,nintendo 3ds / wii u,2015,0.06999999999999999
super mario land 2: 6 golden coins,BOSS_IN,world,GB,1992,11.18
mini mario & friends: amiibo challenge,BOSS_IN,world,WiiU,2016,0.0
new super mario bros.,BOSS_IN,world,DS,2006,29.8
super mario galaxy,BOSS_IN,world,Wii,2007,11.35
new super mario bros. wii,BOSS_IN,world,Wii,2009,28.32
super mario galaxy 2,BOSS_IN,world,Wii,2010,7.51
super mario 3d land,BOSS_IN,world,3DS,2011,10.81
new super mario bros. 2,BOSS_IN,world,3DS,2012,9.9
super mario run,BOSS_IN,world,Mobile,2016,0.0
super mario run,BOSS_IN,world,Mobile,2017,0.0
super mario bros. wonder,BOSS_IN,world,Switch,2023,0.0
super mario party,BOSS_IN,boom boom,Switch,2018,0.0
super mario 3d land,BOSS_IN,boom boom,3DS,2011,10.81
super mario party jamboree,BOSS_IN,boom boom,Switch,2024,0.0
super mario run,BOSS_IN,boom boom,Mobile,2016,0.0
super mario run,BOSS_IN,boom boom,Mobile,2017,0.0
super mario maker 2,BOSS_IN,boom boom,Switch,2019,0.0
mario & luigi: superstar saga,BOSS_IN,lemmy,GBA,2003,2.17
super smash bros. for nintendo 3ds / wii u,BOSS_IN,lemmy,"nintendo 3ds, wii u",2014,0.0
super smash bros. for nintendo 3ds / wii u,BOSS_IN,lemmy,nintendo 3ds / wii u,2014,0.0
mario kart tour,BOSS_IN,lemmy,Mobile,2019,0.0
mario & luigi: paper jam,BOSS_IN,lemmy,3DS,2015,0.76
mario & luigi: paper jam,BOSS_IN,lemmy,3DS,2016,0.76
super smash bros. ultimate,BOSS_IN,lemmy,Switch,2018,0.0
super smash bros. ultimate,BOSS_IN,lemmy,Switch,2020,0.0
super smash bros. ultimate,BOSS_IN,lemmy,Switch,2019,0.0
new super mario bros. wii,BOSS_IN,lemmy,Wii,2009,28.32
mario kart live: home circuit,BOSS_IN,lemmy,Switch,2020,0.0
mario & luigi: superstar saga + bowser's minions,BOSS_IN,lemmy,3DS,2017,0.0
new super mario bros. 2,BOSS_IN,lemmy,3DS,2012,9.9
mario & luigi: bowser's inside story + bowser jr.'s journey,BOSS_IN,lemmy,3DS,2018,0.0
mario & luigi: bowser's inside story + bowser jr.'s journey,BOSS_IN,lemmy,Switch,2018,0.0
super mario maker 2,BOSS_IN,lemmy,Switch,2019,0.0
mario & luigi: dream team,BOSS_IN,antasma,3DS,2013,2.08
mario & luigi: paper jam,BOSS_IN,antasma,3DS,2015,0.76
mario & luigi: paper jam,BOSS_IN,antasma,3DS,2016,0.76
mario kart ds,BOSS_IN,black shy guy,DS,2005,23.21
mario kart tour,BOSS_IN,black shy guy,Mobile,2019,0.0
super mario world,BOSS_IN,big boo,Nintendo,1990,26.07
super mario world,BOSS_IN,big boo,Game & Watch,1991,26.07
super mario world,BOSS_IN,big boo,Arcade,1993,26.07
super mario world,BOSS_IN,big boo,SNES,1990,26.07
mario & luigi: superstar saga + bowser's minions,BOSS_IN,big boo,3DS,2017,0.0
mario & luigi: bowser's inside story + bowser jr.'s journey,BOSS_IN,big boo,3DS,2018,0.0
mario & luigi: bowser's inside story + bowser jr.'s journey,BOSS_IN,big boo,Switch,2018,0.0
super mario sunshine,BOSS_IN,big boo,GC,2002,6.31
super mario advance 4: super mario bros. 3,BOSS_IN,big boo,GBA,2003,0.0
super mario galaxy,BOSS_IN,big boo,Wii,2007,11.35
new super mario bros. wii,BOSS_IN,big boo,Wii,2009,28.32
super mario galaxy 2,BOSS_IN,big boo,Wii,2010,7.51
super mario 3d land,BOSS_IN,big boo,3DS,2011,10.81
new super mario bros. 2,BOSS_IN,big boo,3DS,2012,9.9
mario party 6,BOSS_IN,big blooper,GC,2004,1.65
mario party 7,BOSS_IN,big blooper,GC,2005,1.57
mario party 9,BOSS_IN,big blooper,Wii,2012,3.13
mario party 10,BOSS_IN,big blooper,WiiU,2015,1.58
mario party: star rush,BOSS_IN,big blooper,3DS,2016,0.3
super mario party,BOSS_IN,big blooper,Switch,2018,0.0
mario party,BOSS_IN,big boo  character ,N64,1998,2.7
super mario sunshine,BOSS_IN,big boo  character ,GC,2002,6.31
mario party 2,BOSS_IN,big boo  character ,N64,1999,2.5
mario party 4,BOSS_IN,big boo  character ,GC,2002,2.47
new super mario bros. u,BOSS_IN,big buzzy beetle,WiiU,2012,5.22
new super mario bros. wii,BOSS_IN,big chain chomp,Wii,2009,28.32
new super mario bros. 2,BOSS_IN,big chain chomp,3DS,2012,9.9
super mario odyssey,BOSS_IN,big chain chomp,Switch,2017,0.0
super mario maker 2,BOSS_IN,big chain chomp,Switch,2019,0.0
new super mario bros. wii,BOSS_IN,big fire piranha,Wii,2009,28.32
new super mario bros. 2,BOSS_IN,big fire piranha,3DS,2012,9.9
super mario maker 2,BOSS_IN,big fire piranha,Switch,2019,0.0
super mario bros. wonder,BOSS_IN,big fire piranha,Switch,2023,0.0
super mario maker 2,BOSS_IN,big lava bubble,Switch,2019,0.0
super mario bros. 3,BOSS_IN,big cheep cheep,Nintendo,1988,22.48
super mario bros. 3,BOSS_IN,big cheep cheep,Game & Watch,1990,22.48
super mario bros. 3,BOSS_IN,big cheep cheep,NES,1988,22.48
super mario kart,BOSS_IN,big cheep cheep,SNES,1992,8.76
super mario kart,BOSS_IN,big cheep cheep,Nintendo,1992,8.76
mario party 5,BOSS_IN,big cheep cheep,GC,2003,2.08
new super mario bros.,BOSS_IN,big cheep cheep,DS,2006,29.8
mario kart 64,BOSS_IN,big cheep cheep,N64,1996,9.87
mario party 7,BOSS_IN,big cheep cheep,GC,2005,1.57
new super mario bros. wii,BOSS_IN,big cheep cheep,Wii,2009,28.32
mario kart: super circuit,BOSS_IN,big cheep cheep,GBA,2001,5.47
mario party 8,BOSS_IN,big cheep cheep,Wii,2007,8.27
new super mario bros. 2,BOSS_IN,big cheep cheep,3DS,2012,9.9
